"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2944","test_type_text_into_input[chromium]","","Wed Feb 26 17:19:32 GMT 2025","passed","Wed Feb 26 17:19:35 GMT 2025","","test_type_text_into_input","",""
"Test complete end-to-end purchase flow from login to checkout","4167","test_end_2_end_scenario[chromium]","tests","Wed Feb 26 17:19:41 GMT 2025","passed","Wed Feb 26 17:19:45 GMT 2025","","test_end_2_end_scenario","",""
"","9275","test_select[chromium]","","Wed Feb 26 17:19:13 GMT 2025","passed","Wed Feb 26 17:19:23 GMT 2025","","test_select","",""
"","9097","test_type_text[chromium]","","Wed Feb 26 17:19:23 GMT 2025","passed","Wed Feb 26 17:19:32 GMT 2025","","test_type_text","",""
"","14180","test_check[chromium]","","Wed Feb 26 17:18:51 GMT 2025","passed","Wed Feb 26 17:19:05 GMT 2025","","test_check","",""
"","1720","test_click[chromium]","","Wed Feb 26 17:19:05 GMT 2025","passed","Wed Feb 26 17:19:07 GMT 2025","","test_click","",""
"Test login failures with invalid credentials and locked out user","1157","test_sauce_demo_negative_login[chromium-locked_out_user-wrong_password-Epic sadface: Username and password do not match any user in this service]","tests","Wed Feb 26 17:19:47 GMT 2025","passed","Wed Feb 26 17:19:48 GMT 2025","","test_negative_scenarios","",""
"Test successful login with different valid user credentials","1183","test_login_with_success[chromium-problem_user-secret_sauce]","tests","Wed Feb 26 17:20:01 GMT 2025","passed","Wed Feb 26 17:20:02 GMT 2025","","test_positive_scenarios","",""
"Test successful login with different valid user credentials","1179","test_login_with_success[chromium-visual_user-secret_sauce]","tests","Wed Feb 26 17:20:02 GMT 2025","passed","Wed Feb 26 17:20:03 GMT 2025","","test_positive_scenarios","",""
"","5459","test_example[chromium]","","Wed Feb 26 17:19:35 GMT 2025","passed","Wed Feb 26 17:19:41 GMT 2025","","test_with_codegen","",""
"Test successful login with different valid user credentials","1157","test_login_with_success[chromium-error_user-secret_sauce]","tests","Wed Feb 26 17:19:59 GMT 2025","passed","Wed Feb 26 17:20:00 GMT 2025","","test_positive_scenarios","",""
"Test successful login with different valid user credentials","1145","test_login_with_success[chromium-standard_user-secret_sauce]","tests","Wed Feb 26 17:19:51 GMT 2025","passed","Wed Feb 26 17:19:52 GMT 2025","","test_positive_scenarios","",""
"","2458","test_has_title[chromium]","","Wed Feb 26 17:19:07 GMT 2025","passed","Wed Feb 26 17:19:10 GMT 2025","","test_example","",""
"","2725","test_get_started_link[chromium]","","Wed Feb 26 17:19:10 GMT 2025","passed","Wed Feb 26 17:19:13 GMT 2025","","test_example","",""
"Test adding multiple items to cart and verifying cart badge count","2689","test_added_items[chromium]","tests","Wed Feb 26 17:19:48 GMT 2025","passed","Wed Feb 26 17:19:51 GMT 2025","","test_number_of_added_items","",""
"Test login failures with invalid credentials and locked out user","1140","test_sauce_demo_negative_login[chromium-locked_out_user-secret_sauce-Epic sadface: Sorry, this user has been locked out.]","tests","Wed Feb 26 17:19:46 GMT 2025","passed","Wed Feb 26 17:19:47 GMT 2025","","test_negative_scenarios","",""
"Test successful login with different valid user credentials","6173","test_login_with_success[chromium-performance_glitch_user-secret_sauce]","tests","Wed Feb 26 17:19:53 GMT 2025","passed","Wed Feb 26 17:19:59 GMT 2025","","test_positive_scenarios","",""
